"Points:0","Points:1","Points:2"
54662,52272,20247
54742,52170,20515
54742,52132,20774
54467,52285,20966
54737,52090,21121
54647,52088,21668
54920,51929,21631
54807,51972,21905
59856,93942,55951
59643,93920,56309
38611,79413,35518
38762,79749,35318
54687,51998,22430
43355,89971,35373
43154,89798,35432
43195,89953,35677
54606,51963,23345
54412,52056,23481
54685,52632,18815
54748,52483,19110
54544,52499,19660
54594,52391,19933
54577,52918,18383
54498,52887,18655
54692,52737,18517
54735,53464,17116
54563,53616,17270
54641,53775,16918
98485,78693,52745
54724,53154,17584
54587,53060,18060
54493,53318,17823
54516,53463,17563
54687,53372,17338
54363,53324,18099
59701,93837,56552
54639,54032,16625
54534,54586,16237
54387,54562,16539
54647,54859,15751
54479,54862,16061
54433,55152,15864
54287,55106,16178
54559,55408,15391
54603,55140,15560
54407,55422,15653
54687,55721,14886
54516,55684,15218
54444,55978,15089
38654,79173,35218
38780,79316,34937
38690,78942,34952
54405,55641,15452
54792,55932,14543
54560,56124,14782
54418,56482,14750
54375,56237,14998
54281,56168,15207
54757,56642,14125
54688,56302,14448
54583,57034,14157
54631,57586,13815
54724,57239,13849
54830,57478,13596
54427,57731,14020
54726,57754,13621
54930,57702,13376
54487,58194,13754
54560,57910,13774
54708,58111,13511
54345,58447,13833
54544,58476,13586
38738,79496,35195
54785,58454,13304
54587,58787,13431
54844,58808,13123
54863,59210,12974
54622,59091,13290
54651,59443,13138
59305,94042,56245
59380,93938,56595
54633,59776,13039
54552,60080,13012
54772,60039,12793
54580,60282,12903
54725,60422,12698
54495,60586,12872
59106,94064,56401
59046,94028,56633
54521,61899,12159
54794,61905,11875
54797,61608,12081
54743,62349,11504
54964,62168,11475
54772,62123,11707
54264,63413,10670
54517,63258,10648
54336,63242,10831
54537,63046,10891
54432,63475,10448
54726,63322,10416
55108,51795,21952
54812,51951,22132
54974,51841,22369
54828,51899,22704
55155,51716,22696
55429,51566,22621
55317,51602,23001
55017,51768,23024
54707,51938,23038
55192,51638,23383
54942,51738,23738
54839,51833,23373
54972,52337,18926
55145,52116,19244
54869,52324,19311
55039,52136,19553
54761,52332,19635
54882,52172,19959
55203,51971,19802
55177,51925,20220
39450,85773,38409
39441,85561,38208
54890,52103,20314
54978,52004,20597
54916,52000,20940
55023,51903,21246
98646,78740,57393
55118,52557,17808
55116,52405,18235
54826,52734,18166
55187,52248,18542
54925,52501,18524
54638,52491,19406
97947,78660,52336
98260,78473,52522
54893,53170,17190
